County,State,Group Population,No Health INS,Share No Health INS
Harris County,Texas,309303,46148,14.92
Queens County,New York,590639,82205,13.92
Clark County,Nevada,202925,23422,11.54
Fairfax County,Virginia,214770,23739,11.05
Los Angeles County,California,1454553,145863,10.03
Cook County,Illinois,365380,36481,9.98
Collin County,Texas,123958,10933,8.82
Orange County,California,619640,47896,7.73
King County,Washington,349500,22739,6.51
Alameda County,California,470176,22526,4.79
Santa Clara County,California,670212,29153,4.35
Abbeville County,South Carolina,,,
Acadia Parish,Louisiana,,,
Accomack County,Virginia,229,,
Ada County,Idaho,11272,,
Adair County,Iowa,,,
Adair County,Kentucky,,,
Adair County,Missouri,619,,
Adair County,Oklahoma,138,,
Adams County,Colorado,19056,,
Adams County,Idaho,,,
Adams County,Illinois,511,,
Adams County,Indiana,132,,
Adams County,Iowa,,,
Adams County,Mississippi,,,
Adams County,Nebraska,440,,
Adams County,North Dakota,62,,
Adams County,Ohio,,,
Adams County,Pennsylvania,727,,
Adams County,Washington,,,
Adams County,Wisconsin,108,,
Addison County,Vermont,711,,
Adjuntas Municipio,Puerto Rico,,,
Aguada Municipio,Puerto Rico,,,
Aguadilla Municipio,Puerto Rico,,,
Aguas Buenas Municipio,Puerto Rico,,,
Aibonito Municipio,Puerto Rico,,,
Aiken County,South Carolina,1690,,
Aitkin County,Minnesota,,,
Alachua County,Florida,15273,,
Alamance County,North Carolina,2378,,
Alamosa County,Colorado,,,
Albany County,New York,19777,,
Albany County,Wyoming,1126,,
Albemarle County,Virginia,5202,,
Alcona County,Michigan,44,,
Alcorn County,Mississippi,,,
Aleutians East Borough,Alaska,874,,
Aleutians West Census Area,Alaska,2211,,
Alexander County,Illinois,,,
Alexander County,North Carolina,428,,
Alexandria city,Virginia,9434,,
Alfalfa County,Oklahoma,,,
Alger County,Michigan,,,
Allamakee County,Iowa,,,
Allegan County,Michigan,,,
Allegany County,Maryland,579,,
Allegany County,New York,549,,
Alleghany County,North Carolina,,,
Alleghany County,Virginia,,,
Allegheny County,Pennsylvania,43433,,
Allen County,Indiana,12884,,
Allen County,Kansas,,,
Allen County,Kentucky,,,
Allen County,Ohio,751,,
Allen Parish,Louisiana,,,
Allendale County,South Carolina,,,
Alpena County,Michigan,,,
Alpine County,California,,,
Amador County,California,499,,
Amelia County,Virginia,,,
Amherst County,Virginia,171,,
Amite County,Mississippi,,,
Añasco Municipio,Puerto Rico,,,
Anchorage Municipality,Alaska,27420,,
Anderson County,Kansas,,,
Anderson County,Kentucky,,,
Anderson County,South Carolina,1747,,
Anderson County,Tennessee,1043,,
Anderson County,Texas,,,
Andrew County,Missouri,,,
Andrews County,Texas,,,
Androscoggin County,Maine,896,,
Angelina County,Texas,933,,
Anne Arundel County,Maryland,20111,,
Anoka County,Minnesota,14626,,
Anson County,North Carolina,271,,
Antelope County,Nebraska,,,
Antrim County,Michigan,72,,
Apache County,Arizona,,,
Appanoose County,Iowa,,,
Appling County,Georgia,,,
Appomattox County,Virginia,,,
Aransas County,Texas,500,,
Arapahoe County,Colorado,35785,,
Archer County,Texas,,,
Archuleta County,Colorado,,,
Arecibo Municipio,Puerto Rico,,,
Arenac County,Michigan,59,,
Arkansas County,Arkansas,,,
Arlington County,Virginia,23427,,
Armstrong County,Pennsylvania,160,,
Armstrong County,Texas,,,
Aroostook County,Maine,271,,
Arroyo Municipio,Puerto Rico,,,
Arthur County,Nebraska,,,
Ascension Parish,Louisiana,1072,,
Ashe County,North Carolina,,,
Ashland County,Ohio,,,
Ashland County,Wisconsin,,,
Ashley County,Arkansas,,,
Ashtabula County,Ohio,476,,
Asotin County,Washington,205,,
Assumption Parish,Louisiana,,,
Atascosa County,Texas,,,
Atchison County,Kansas,,,
Atchison County,Missouri,,,
Athens County,Ohio,1875,,
Atkinson County,Georgia,,,
Atlantic County,New Jersey,22843,,
Atoka County,Oklahoma,,,
Attala County,Mississippi,,,
Audrain County,Missouri,,,
Audubon County,Iowa,,,
Auglaize County,Ohio,,,
Augusta County,Virginia,,,
Aurora County,South Dakota,,,
Austin County,Texas,,,
Autauga County,Alabama,,,
Avery County,North Carolina,,,
Avoyelles Parish,Louisiana,,,
Baca County,Colorado,,,
Bacon County,Georgia,,,
Bailey County,Texas,,,
Baker County,Florida,200,,
Baker County,Georgia,,,
Baker County,Oregon,,,
Baldwin County,Alabama,,,
Baldwin County,Georgia,687,,
Ballard County,Kentucky,,,
Baltimore city,Maryland,15802,,
Baltimore County,Maryland,48987,,
Bamberg County,South Carolina,,,
Bandera County,Texas,,,
Banks County,Georgia,228,,
Banner County,Nebraska,,,
Bannock County,Idaho,1138,,
Baraga County,Michigan,42,,
Barber County,Kansas,,,
Barbour County,Alabama,,,
Barbour County,West Virginia,,,
Barceloneta Municipio,Puerto Rico,,,
Barnes County,North Dakota,,,
Barnstable County,Massachusetts,3155,,
Barnwell County,South Carolina,,,
Barranquitas Municipio,Puerto Rico,,,
Barren County,Kentucky,,,
Barron County,Wisconsin,326,,
Barrow County,Georgia,2679,,
Barry County,Michigan,310,,
Barry County,Missouri,536,,
Bartholomew County,Indiana,5037,,
Barton County,Kansas,,,
Barton County,Missouri,,,
Bartow County,Georgia,962,,
Bastrop County,Texas,685,,
Bates County,Missouri,,,
Bath County,Kentucky,,,
Bath County,Virginia,,,
Baxter County,Arkansas,,,
Bay County,Florida,4145,,
Bay County,Michigan,597,,
Bayamón Municipio,Puerto Rico,,,
Bayfield County,Wisconsin,81,,
Baylor County,Texas,,,
Beadle County,South Dakota,1687,,
Bear Lake County,Idaho,40,,
Beaufort County,North Carolina,,,
Beaufort County,South Carolina,1975,,
Beauregard Parish,Louisiana,,,
Beaver County,Oklahoma,,,
Beaver County,Pennsylvania,793,,
Beaver County,Utah,,,
Beaverhead County,Montana,,,
Becker County,Minnesota,184,,
Beckham County,Oklahoma,,,
Bedford County,Pennsylvania,,,
Bedford County,Tennessee,,,
Bedford County,Virginia,1026,,
Bee County,Texas,,,
Belknap County,New Hampshire,579,,
Bell County,Kentucky,,,
Bell County,Texas,9196,,
Belmont County,Ohio,,,
Beltrami County,Minnesota,375,,
Ben Hill County,Georgia,,,
Benewah County,Idaho,,,
Bennett County,South Dakota,,,
Bennington County,Vermont,,,
Benson County,North Dakota,,,
Bent County,Colorado,,,
Benton County,Arkansas,9299,,
Benton County,Indiana,,,
Benton County,Iowa,,,
Benton County,Minnesota,,,
Benton County,Mississippi,,,
Benton County,Missouri,,,
Benton County,Oregon,5825,,
Benton County,Tennessee,,,
Benton County,Washington,4838,,
Benzie County,Michigan,77,,
Bergen County,New Jersey,152207,,
Berkeley County,South Carolina,4568,,
Berkeley County,West Virginia,1211,,
Berks County,Pennsylvania,5787,,
Berkshire County,Massachusetts,2082,,
Bernalillo County,New Mexico,16573,,
Berrien County,Georgia,184,,
Berrien County,Michigan,3050,,
Bertie County,North Carolina,,,
Bethel Census Area,Alaska,165,,
Bexar County,Texas,50564,,
Bibb County,Alabama,,,
Bibb County,Georgia,2931,,
Bienville Parish,Louisiana,,,
Big Horn County,Montana,,,
Big Horn County,Wyoming,,,
Big Stone County,Minnesota,,,
Billings County,North Dakota,,,
Bingham County,Idaho,,,
Black Hawk County,Iowa,2712,,
Blackford County,Indiana,,,
Bladen County,North Carolina,,,
Blaine County,Idaho,,,
Blaine County,Montana,,,
Blaine County,Nebraska,,,
Blaine County,Oklahoma,,,
Blair County,Pennsylvania,872,,
Blanco County,Texas,,,
Bland County,Virginia,,,
Bleckley County,Georgia,,,
Bledsoe County,Tennessee,,,
Blount County,Alabama,,,
Blount County,Tennessee,868,,
Blue Earth County,Minnesota,1402,,
Boise County,Idaho,,,
Bolivar County,Mississippi,309,,
Bollinger County,Missouri,,,
Bon Homme County,South Dakota,,,
Bond County,Illinois,,,
Bonner County,Idaho,,,
Bonneville County,Idaho,964,,
Boone County,Arkansas,,,
Boone County,Illinois,638,,
Boone County,Indiana,1618,,
Boone County,Iowa,,,
Boone County,Kentucky,2927,,
Boone County,Missouri,7419,,
Boone County,Nebraska,,,
Boone County,West Virginia,,,
Borden County,Texas,,,
Bosque County,Texas,,,
Bossier Parish,Louisiana,1774,,
Botetourt County,Virginia,283,,
Bottineau County,North Dakota,,,
Boulder County,Colorado,14279,,
Boundary County,Idaho,,,
Bourbon County,Kansas,,,
