County,State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
Abbeville County,South Carolina,,,,,
Acadia Parish,Louisiana,,,,,
Accomack County,Virginia,,,,,
Ada County,Idaho,7719,,0.1864231118020469,,0.5145744267392149
Adair County,Iowa,,,,,
Adair County,Kentucky,,,,,
Adair County,Missouri,,,,,
Adair County,Oklahoma,97,,,,
Adams County,Colorado,12520,0.23498402555910544,0.2303514376996805,0.21373801916932908,0.320926517571885
Adams County,Idaho,,,,,
Adams County,Illinois,,,,,
Adams County,Indiana,,,,,
Adams County,Iowa,,,,,
Adams County,Mississippi,,,,,
Adams County,Nebraska,,,,,
Adams County,North Dakota,,,,,
Adams County,Ohio,,,,,
Adams County,Pennsylvania,446,,,,
Adams County,Washington,191,,,,
Adams County,Wisconsin,96,,,,
Addison County,Vermont,,,,,
Adjuntas Municipio,Puerto Rico,,,,,
Aguada Municipio,Puerto Rico,,,,,
Aguadilla Municipio,Puerto Rico,,,,,
Aguas Buenas Municipio,Puerto Rico,,,,,
Aibonito Municipio,Puerto Rico,,,,,
Aiken County,South Carolina,1218,,,,
Aitkin County,Minnesota,,,,,
Alachua County,Florida,8847,,,,0.7223917712218831
Alamance County,North Carolina,1559,,,,
Alameda County,California,340159,0.12157255871518907,0.13815597999758936,0.18635402855723354,0.5539174327299881
Alamosa County,Colorado,,,,,
Albany County,New York,11549,,,,0.6239501255519958
Albany County,Wyoming,637,,,,0.8320251177394035
Albemarle County,Virginia,3019,,,,0.694600861212322
Alcona County,Michigan,44,,,,
Alcorn County,Mississippi,,,,,
Aleutians East Borough,Alaska,757,,,,
Aleutians West Census Area,Alaska,1646,,0.31470230862697446,0.34386391251518833,
Alexander County,Illinois,,,,,
Alexander County,North Carolina,,,,,
Alexandria city,Virginia,7971,,,,0.6646593902898005
Alfalfa County,Oklahoma,,,,,
Alger County,Michigan,,,,,
Allamakee County,Iowa,,,,,
Allegan County,Michigan,,,,,
Allegany County,Maryland,348,,,,
Allegany County,New York,365,,,,
Alleghany County,North Carolina,,,,,
Alleghany County,Virginia,,,,,
Allegheny County,Pennsylvania,28060,0.11258018531717748,0.07066999287241625,0.07498218104062723,0.7417676407697791
Allen County,Indiana,7364,0.3382672460619229,,,0.3515752308527974
Allen County,Kansas,,,,,
Allen County,Kentucky,,,,,
Allen County,Ohio,563,,,,
Allen Parish,Louisiana,,,,,
Allendale County,South Carolina,,,,,
Alpena County,Michigan,,,,,
Alpine County,California,,,,,
Amador County,California,446,,,,
Amelia County,Virginia,,,,,
Amherst County,Virginia,,,,,
Amite County,Mississippi,,,,,
Añasco Municipio,Puerto Rico,,,,,
Anchorage Municipality,Alaska,17183,0.2106733399289996,0.24169237036605948,0.28400162951754643,0.2636326601873945
Anderson County,Kansas,,,,,
Anderson County,Kentucky,,,,,
Anderson County,South Carolina,1153,,,,
Anderson County,Tennessee,830,,,,0.7072289156626506
Anderson County,Texas,252,,,,
Andrew County,Missouri,,,,,
Andrews County,Texas,,,,,
Androscoggin County,Maine,543,,,,
Angelina County,Texas,658,,,,
Anne Arundel County,Maryland,15366,0.10718469347910972,0.14974619289340102,0.22387088376936093,0.5191982298581284
Anoka County,Minnesota,9117,0.18317428978830755,0.16726993528572995,0.25743117253482506,0.39212460239113744
Anson County,North Carolina,,,,,
Antelope County,Nebraska,,,,,
Antrim County,Michigan,,,,,
Apache County,Arizona,,,,,
Appanoose County,Iowa,,,,,
Appling County,Georgia,,,,,
Appomattox County,Virginia,,,,,
Aransas County,Texas,436,,,,
Arapahoe County,Colorado,24513,0.14657528658262964,0.16456574062742219,0.19063354138620323,0.498225431403745
Archer County,Texas,,,,,
Archuleta County,Colorado,,,,,
Arecibo Municipio,Puerto Rico,,,,,
Arenac County,Michigan,39,,,,
Arkansas County,Arkansas,,,,,
Arlington County,Virginia,18118,,,0.10139088199580527,0.7503587592449498
Armstrong County,Pennsylvania,129,,,,
Armstrong County,Texas,,,,,
Aroostook County,Maine,190,,,,
Arroyo Municipio,Puerto Rico,,,,,
Arthur County,Nebraska,,,,,
Ascension Parish,Louisiana,828,,,,
Ashe County,North Carolina,,,,,
Ashland County,Ohio,,,,,
Ashland County,Wisconsin,,,,,
Ashley County,Arkansas,,,,,
Ashtabula County,Ohio,364,,,,
Asotin County,Washington,,,,,
Assumption Parish,Louisiana,,,,,
Atascosa County,Texas,,,,,
Atchison County,Kansas,,,,,
Atchison County,Missouri,,,,,
Athens County,Ohio,891,,,,0.8013468013468014
Atkinson County,Georgia,,,,,
Atlantic County,New Jersey,15471,0.23243487815913644,0.20987654320987653,0.20289574041755543,0.3547928382134316
Atoka County,Oklahoma,,,,,
Attala County,Mississippi,,,,,
Audrain County,Missouri,,,,,
Audubon County,Iowa,,,,,
Auglaize County,Ohio,,,,,
Augusta County,Virginia,,,,,
Aurora County,South Dakota,,,,,
Austin County,Texas,,,,,
Autauga County,Alabama,,,,,
Avery County,North Carolina,,,,,
Avoyelles Parish,Louisiana,,,,,
Baca County,Colorado,,,,,
Bacon County,Georgia,,,,,
Bailey County,Texas,,,,,
